Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
010001,"Southeast Health Medical Center","1108 Ross Clark Circle",Dothan,36301,AL,01,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater","3,088","$278,526,569","$60,345,158","$50,914,956","4,059","23,188","23,955",74.7,388,975,"1,117",608,"1,600","1,488","2,548",452,15,24,,,779,"2,309",1%,11%,26%,21%,40%,7%,41%,37%,1%,3%,6%,11%,40%,20%,45%,35%,50%,44%,75%,75%,50%,14%,3%,61%,27%,2.005
010005,"Marshall Medical Centers South Campus","2505 U S Highway 431 North",Boaz,35957,AL,01,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999","1,123","$31,478,721","$14,642,451","$11,823,938","1,410","7,134","7,381",76.2,142,305,411,265,634,489,"1,083",,,16,,12,322,801,1%,13%,25%,27%,41%,8%,41%,37%,1%,2%,5%,9%,37%,18%,43%,43%,43%,48%,75%,75%,47%,17%,5%,61%,26%,1.723
010006,"North Alabama Medical Center","1701 Veterans Drive",Florence,35630,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","2,634","$215,598,957","$44,902,549","$37,659,141","3,621","20,645","21,017",75.6,283,841,987,523,"1,454","1,180","2,440",146,,24,,24,587,"2,047",1%,23%,22%,21%,41%,7%,46%,42%,3%,2%,5%,13%,39%,19%,38%,42%,48%,42%,75%,75%,52%,19%,6%,65%,21%,1.910
010007,"Mizell Memorial Hospital","702 N Main St",Opp,36467,AL,01,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,"$5,880,788","$3,654,041","$3,247,319",353,"1,415","1,445",76.1,30,67,97,58,139,113,233,18,,,,,96,156,2%,14%,25%,37%,50%,10%,51%,44%,3%,2%,12%,14%,43%,15%,49%,53%,51%,52%,75%,75%,44%,11%,8%,60%,19%,1.935
010008,"Crenshaw Community Hospital","101 Hospital Circle",Luverne,36049,AL,01,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",89,"$2,504,675","$1,038,446","$892,139",123,613,621,77.2,,17,36,,49,40,73,15,,,,,35,54,1%,17%,25%,36%,43%,12%,46%,38%,1%,6%,10%,8%,38%,19%,43%,46%,45%,30%,75%,75%,43%,20%,3%,55%,18%,1.618
010011,"St Vincent's East","50 Medical Park East Drive",Birmingham,35235,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,943","$160,898,192","$36,403,238","$29,501,414","2,609","14,769","15,627",73.8,304,619,650,370,"1,024",919,"1,616",281,,21,,21,411,"1,532",3%,16%,23%,22%,43%,10%,47%,43%,9%,3%,11%,12%,40%,16%,45%,36%,46%,43%,75%,75%,53%,12%,3%,51%,21%,2.099
010012,"Dekalb Regional Medical Center","200 Med Center Drive","Fort Payne",35968,AL,01,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",454,"$40,225,683","$6,542,387","$5,653,036",571,"1,895","1,953",75.2,51,146,165,92,261,193,436,,,,,,139,315,1%,10%,25%,29%,40%,8%,41%,36%,0%,1%,8%,9%,35%,13%,41%,40%,47%,44%,75%,75%,50%,10%,4%,60%,12%,1.637
010016,"Shelby Baptist Medical Center","1000 First Street North",Alabaster,35007,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,143","$203,688,120","$21,558,422","$16,808,051","1,504","7,757","8,336",75.7,128,348,430,237,595,548,"1,028",87,,12,,14,177,966,2%,10%,20%,27%,39%,6%,41%,37%,1%,1%,5%,12%,42%,20%,58%,34%,48%,57%,75%,75%,64%,16%,5%,54%,23%,2.021
010018,"Uab Callahan Eye Hospital Authority","1720 University Blvd Ste 305",Birmingham,35233,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,"$335,890","$232,833","$102,774",11,27,31,73.6,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,9%,27%,18%,18%,18%,9%,64%,75%,27%,9%,0%,64%,9%,0.744
010019,"Helen Keller Memorial Hospital","1300 South Montgomery Avenue",Sheffield,35660,AL,01,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater","1,152","$43,141,083","$13,351,469","$11,131,447","1,535","7,338","7,454",76.3,112,351,426,263,679,473,"1,043",95,,,,,299,853,1%,16%,19%,26%,49%,6%,46%,40%,3%,1%,6%,12%,39%,19%,44%,40%,47%,42%,75%,75%,42%,17%,5%,65%,17%,1.846
